Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
870000,0.79515,8108.436374102119,108.86666666666666,1235.1989,8108.436349211799,1150737.6,0.13612054,0.00027405127
880000,0.77624303,7400.136665953341,93.08571428571429,1263.6704,7400.136655389695,1253164.4,0.13612701,0.0002737523
890000,0.7780301,8450.386158278769,101.50515463917526,1290.481,8450.386146309449,1305360.6,0.13884881,0.00027345124
900000,0.7835491,8390.987856805485,104.78494623655914,1299.1628,8390.987851706885,1303001.2,0.13791972,0.00027314934
910000,0.7730452,7923.250665454476,99.23232323232324,1314.9391,7839.485092007384,1320155.9,0.13205247,0.00027284943
920000,0.770816,7518.434329598655,90.01869158878505,1339.5549,7598.192085619326,1293206.4,0.12832569,0.00027255213
930000,0.77251,8539.971432966344,96.88235294117646,1366.1846,8539.971456639907,1376280.8,0.1300609,0.00027224998
940000,0.76540387,7352.173712987005,97.16,1364.8131,7352.173690929413,1188088.4,0.13351285,0.00027194762
950000,0.7392124,8437.517229407747,91.23364485981308,1403.0266,8437.51726753021,1583564.6,0.12781924,0.00027164997
960000,0.7414295,8576.553717880295,93.82692307692308,1418.0065,8576.55368225391,1467721.2,0.13580537,0.00027134953
970000,0.7419826,8192.900804790854,97.93,1419.0527,8192.900846633911,1328553.9,0.13165592,0.0002710491
980000,0.74335533,9532.345160261444,106.80434782608695,1468.4934,9532.345116905544,1358143.5,0.13542594,0.00027074912
990000,0.74235064,8012.986998854297,97.20792079207921,1467.5074,8089.762539596558,1254782.2,0.1311517,0.00027044976
1000000,0.75008374,9116.770264009241,117.89024390243902,1463.2003,9010.970945059535,1147795.0,0.13433655,0.00027014973
1010000,0.7606857,8043.65260688666,113.76744186046511,1483.3186,8043.652638013973,964117.5,0.12886776,0.0002698478
1020000,0.74934334,8951.896925196565,113.47126436781609,1524.919,8951.896887943662,1173580.1,0.13517986,0.00026954635
1030000,0.7390986,9963.89082250376,112.7816091954023,1561.1625,9915.80208348119,1333705.1,0.13265416,0.00026925225
1040000,0.7460786,9740.822641962053,101.46875,1575.9862,9785.75764221506,1654761.0,0.1305234,0.00026894952
1050000,0.7437585,9230.007176429688,106.5934065934066,1601.6144,9230.007097432901,1366525.6,0.13217017,0.00026865164
1060000,0.7332005,7234.427124119119,85.55263157894737,1598.5123,7234.427069479959,1373930.6,0.12834862,0.00026835233
1070000,0.7324883,8377.015045772581,97.01960784313725,1625.8248,8325.921689099605,1305867.0,0.13496841,0.000268049
